Map = {
WorkmanGoblin6 = {
	type = "WorkmanGoblin",
	isPlayer = true,
	position = {2.6, 0, 132.5},
	orientation = 0.000000,
	model = "workman_goblin.mesh",
	defaultAnimation = "Idle",
	scale = 1.000000,
	speed = 0.030000,
	angularSpeed = 20.000000,
	accel = 0.001000,
	angularAccel = 3.000000,
	movementTolerance = 1.500000,
	selection_texture_width = 5.000000,
	selection_texture_height = 5.000000,
	selection_projection_height = 20.000000,
	selection_material = "selection_aura",
	activation_material = "activation_aura",
	physic_height = 4.000000,
	physic_radius = 2.000000,
	physic_shape = "capsule",
	physic_group = 9,
	behavior = "workman",
	max_to_gather = 50,
	gather_unit = 5,
	time_between_gather = 500,
	buildAbilityChar = "Q",
	life = 100,
	lifebar_position = {0, 6, -3},
	discovery_range = 40.000000,
	discovery_collision_group = 12,
	particle_systems_count = 2,
	particle_systems_0 = "spiralStars",
	particle_systems_1 = "atomicity",
	particle_system_scale_count = 2,
	particle_system_scale_0 = 1,
	particle_system_scale_1 = 1,
	defaultParticleSystem = "",
	attack_range = 15.000000,
	attack_damage = 5,
	time_between_attacks = 500,
	attack_animation = "Attack1",
	portrait_name = "BadPrincessHud/WorkmanPortrait",
	abilityQ_name = "BadPrincessHud/WorkmanWell",
	abilityW_name = "BadPrincessHud/RangerChestTrap",
	abilityE_name = "",
	abilityR_name = "",
	carrierAbilityChar = "W",
	carrierIdleAnimationName = "Idle3",
	carrierMoveAnimationName = "Attack2",
},
RangerGoblin2 = {
	type = "RangerGoblin",
	isPlayer = true,
	position = {-69.3, 0, 32.33},
	orientation = 0.000000,
	model = "marineRed.mesh",
	defaultAnimation = "Idle",
	scale = 1.000000,
	speed = 0.040000,
	angularSpeed = 20.000000,
	accel = 0.001000,
	angularAccel = 3.000000,
	movementTolerance = 1.500000,
	selection_texture_width = 5.000000,
	selection_texture_height = 5.000000,
	selection_projection_height = 20.000000,
	selection_material = "selection_aura",
	activation_material = "activation_aura",
	physic_height = 6.000000,
	physic_radius = 4.000000,
	physic_shape = "capsule",
	physic_group = 9,
	trap_name_count = 2,
	trap_name_0 = "DamageTrap",
	trap_name_1 = "MudTrap",
	max_number_traps_count = 2,
	max_number_traps_0 = 3,
	max_number_traps_1 = 3,
	trap_key_count = 2,
	trap_key_0 = "Q",
	trap_key_1 = "W",
	behavior = "ranger",
	attack_range = 60.000000,
	attack_damage = 5,
	time_between_attacks = 1000,
	attack_animation = "FireAK47",
	life = 100,
	lifebar_position = {0, 13, -3},
	detection_range = 30.000000,
	detector_collision_group = 12,
	moving_detection = false,
	is_aggressive = false,
	can_defend_position = true,
	can_keep_attacking = true,
	defending_distance = 40.000000,
	particle_systems_count = 2,
	particle_systems_0 = "spiralStars",
	particle_systems_1 = "atomicity",
	particle_system_scale_count = 2,
	particle_system_scale_0 = 1,
	particle_system_scale_1 = 1,
	defaultParticleSystem = "",
	portrait_name = "BadPrincessHud/RangerPortrait",
	abilityQ_name = "BadPrincessHud/RangerExplosiveTrap",
	abilityW_name = "BadPrincessHud/RangerMudTrap",
	abilityE_name = "",
	abilityR_name = "",
},
GameManager = {
	type = "GameManager",
	position = {11.09875, -47.30884, 48.87971},
	orientation = 0.000000,
	loadWaveLevel = "media/lua/Wave.lua",
	loadGameLevel = "media/lua/Tutorial.lua",
	loadAnimationInventary = "media/lua/AnimationInventary.lua",
	workmanGoblinEnabled = false,
	rangerGoblinEnabled = false,
	warriorGoblinEnabled = false,
},
Tree11 = {
	type = "Tree",
	position = {81.6, 0, 66.3},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.71, 6.78, 3.64},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "tree.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 1,
	max_resource_quantity = 100,
	regeneration_time = 10000,
	next_item_name = "Tree4",
	audio_bank_count = 2,
	audio_bank_0 = "Master Bank.bank",
	audio_bank_1 = "Master Bank.strings.bank",
	sound_event_count = 0,
	defaultEvent = "event:/Resources/CutTree",
	smart_position_3 = {0, 0, -10},
	smart_position_2 = {10, 0, 0},
	smart_position_4 = {-10, 0, 0},
	smart_position_1 = {0, 0, 10},
	smart_positions_num = 4,
},
Tree3 = {
	type = "Tree",
	position = {-3.900002, 0, 0.77},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.71, 6.78, 3.64},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "tree.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 1,
	max_resource_quantity = 100,
	regeneration_time = 10000,
	next_item_name = "Tree4",
	audio_bank_count = 2,
	audio_bank_0 = "Master Bank.bank",
	audio_bank_1 = "Master Bank.strings.bank",
	sound_event_count = 0,
	defaultEvent = "event:/Resources/CutTree",
	smart_position_3 = {0, 0, -10},
	smart_position_1 = {0, 0, 10},
	smart_position_2 = {10, 0, 0},
	smart_position_4 = {-10, 0, 0},
	smart_positions_num = 4,
},
Dummy = {
	type = "Dummy",
	isEnemy = true,
	isGenerator = true,
	position = {-96.4, -100, 44.5},
	orientation = 0.000000,
	model = "marineDummy.mesh",
	defaultAnimation = "Idle",
	scale = 1.000000,
	speed = 0.030000,
	angularSpeed = 20.000000,
	accel = 0.001000,
	angularAccel = 3.000000,
	movementTolerance = 1.000000,
	selection_texture_width = 5.000000,
	selection_texture_height = 5.000000,
	selection_projection_height = 1.000000,
	selection_material = "selection_aura",
	activation_material = "activation_aura",
	physic_height = 6.000000,
	physic_radius = 4.000000,
	physic_shape = "capsule",
	physic_group = 9,
	life = 500,
	lifebar_position = {0, 13, -3},
	behavior = "dummy",
},
WellHelper = {
	type = "WellHelper",
	isGenerator = true,
	position = {1.06, -100, 31.55},
	orientation = 0.000000,
	scale = 1.000000,
	model = "well.mesh",
	isStatic = false,
	correctPositionMaterial = "WellMaterial",
	wrongPositionMaterial = "WellMaterialRed",
},
Tree9 = {
	type = "Tree",
	position = {73, 0, 84},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.71, 6.78, 3.64},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "tree.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 1,
	max_resource_quantity = 100,
	regeneration_time = 10000,
	next_item_name = "Tree1",
	audio_bank_count = 2,
	audio_bank_0 = "Master Bank.bank",
	audio_bank_1 = "Master Bank.strings.bank",
	sound_event_count = 0,
	defaultEvent = "event:/Resources/CutTree",
	smart_position_2 = {10, 0, 0},
	smart_position_4 = {-10, 0, 0},
	smart_position_3 = {0, 0, -10},
	smart_position_1 = {0, 0, 10},
	smart_positions_num = 4,
},
RangerGoblin4 = {
	type = "RangerGoblin",
	isPlayer = true,
	position = {-78.3, 0, 26.2},
	orientation = 0.000000,
	model = "marineRed.mesh",
	defaultAnimation = "Idle",
	scale = 1.000000,
	speed = 0.040000,
	angularSpeed = 20.000000,
	accel = 0.001000,
	angularAccel = 3.000000,
	movementTolerance = 1.500000,
	selection_texture_width = 5.000000,
	selection_texture_height = 5.000000,
	selection_projection_height = 20.000000,
	selection_material = "selection_aura",
	activation_material = "activation_aura",
	physic_height = 6.000000,
	physic_radius = 4.000000,
